Total_Increment,Final_Height,Average_Height,Species
82,159,99.67,Bressanvido
-9,71,47.83,Bressanvido
45,115,82.67,Bressanvido
15,65,52.50,Bressanvido
77,112,64.33,Bressanvido
136,193,104.33,Bressanvido
14,88,82.40,Bressanvido
260,293,122.17,Bressanvido
135,220,106.83,Bressanvido
171,259,119.00,Bressanvido
135,231,120.33,Bressanvido
14,83,75.67,Bressanvido
41,114,88.33,Bressanvido
28,40,24.83,IRTA X-80
6,16,12.83,IRTA X-80
13,24,17.50,IRTA X-80
-2,8,10.60,IRTA X-80
5,14,11.20,IRTA X-80
45,55,30.83,IRTA X-80
15,24,14.67,IRTA X-80
70,80,40.33,IRTA X-80
20,29,15.50,IRTA X-80
141,225,131.60,MJ209
111,201,129.33,MJ209
87,169,105.00,MJ209
0,45,50.20,MJ209
11,78,67.00,MJ209
130,230,141.83,MJ209
284,336,141.83,MJ209
56,135,113.33,MJ209
162,250,128.17,MJ209
146,256,143.83,MJ209
221,322,166.67,MJ209
214,314,162.67,MJ209
188,258,137.17,MJ209
21,95,82,MJ209
102,184,119.17,MJ209
253,363,180.17,MJ209
297,366,165.33,MJ209
278,351,162.33,MJ209
229,316,151.67,MJ209
264,247,164.00,MJ209
278,356,170.33,MJ209
272,362,172.50,MJ209
199,284,142.00,MJ209
221,324,173.50,MJ209
107,282,196.67,NG23
273,413,198.33,NG23
156,345,212.33,NG23
3,176,172.00,NG23
19,155,149.17,NG23
5,172,170.33,NG23
62,216,188.83,NG23
162,367,237.33,NG23
81,243,179.17,NG23
264,406,227.33,NG23
205,367,217.50,NG23
170,375,235.50,NG23
192,398,241.33,NG23
280,427,216.67,NG23
147,301,192.33,NG23
67,214,183.17,NG23
287,435,219.50,NG23
366,537,264.17,NG23
20,208,195.50,NG23
5,207,203.00,NG23
28,198,188.00,NG23
4,161,160.83,NG23
0,172,174.33,NG23
10,188,182.83,NG23
178,267,136.20,NG38
366,435,183.50,NG38
218,285,134.00,NG38
130,213,119.83,NG38
135,193,103.17,NG38
35,98,84.83,NG38
335,399,195.33,NG38
242,306,136.00,NG38
210,279,143.67,NG38
272,332,152.50,NG38
323,387,174.50,NG38
329,393,186.17,NG38
307,381,192.67,NG38
456,525,226.00,NG38
267,343,162.33,NG38
307,383,171.67,NG38
565,625,267.67,NG38
377,441,185.50,NG38
303,353,172.17,NG38
219,285,125.83,NG38
-7,70,75.67,NG38
104,159,117.67,NG38
173,226,110.83,NG38
201,261,127.67,NG38
